title,text,subject,date
Budget 2026 allocates Rs 2.5 lakh crore for rural development,"The Union Budget 2026 has allocated Rs 2.5 lakh crore for comprehensive rural development across all states. The allocation focuses on agricultural extension services, irrigation infrastructure, and rural electrification. State governments have been directed to prepare implementation plans.",India News,February 2026
Supreme Court establishes new environmental protection bench,The Supreme Court has established a dedicated environmental protection and climate action bench to fast-track environmental cases. Chief Justice announced that this will help address climate litigation and environmental disputes more efficiently.,India News,February 2026
NITI Aayog launches skill development program for 10 million youth,"The NITI Aayog has launched an ambitious skill development program targeting 10 million young people by 2030. The program covers IT, manufacturing, healthcare, and hospitality sectors. Partnership with international training institutions has been finalized.",India News,February 2026
Ministry of Education announces new NEP implementation guidelines,The Ministry of Education released detailed implementation guidelines for the National Education Policy 2020. Schools and colleges must adopt the new curriculum framework by academic year 2026-27. Multiple choice questions in board exams will be limited to 30%.,India News,February 2026
Reserve Bank reduces repo rate by 25 basis points,The RBI's Monetary Policy Committee decided to reduce the repo rate by 25 basis points to 6.0%. This aims to boost lending and support economic growth. The CRR has been kept unchanged at 4.0%.,India News,February 2026
Election Commission announces schedule for state assembly elections,The Election Commission has announced the schedule for assembly elections in five states over the next three months. The voting will be held in two phases with counting on scheduled dates. Model code of conduct comes into effect immediately.,India News,February 2026
Railway Ministry completes station modernization project,"The Indian Railways has completed the modernization of 500 railway stations under the Station Redevelopment Project. The modernized stations feature improved passenger facilities, better connectivity, and modern amenities.",India News,February 2026
Government launches portal for direct farmer-to-consumer trade,"Agriculture Ministry launched an online portal enabling farmers to directly sell their produce to consumers, eliminating middlemen. The portal also provides market price information and logistics support to farmers across the nation.",India News,February 2026
ISRO successfully conducts Aditya-L1 solar observatory mission extension,"ISRO completed a successful extension of the Aditya-L1 solar mission, enabling extended study of solar corona and space weather phenomena. The mission has provided unprecedented data about solar activities and their impact on Earth.",India News,February 2026
IIT Bombay develops indigenous quantum computing prototype,Researchers at IIT Bombay have developed India's first indigenous quantum computing prototype with 50-qubit capacity. The development marks a major breakthrough in quantum technology and reduces dependence on imported systems.,India News,February 2026
Infosys reports 15% revenue growth in Q3 FY2026,"IT giant Infosys announced Q3 FY2026 results showing 15% quarter-on-quarter revenue growth in constant currency. The company added 8,000 employees in the quarter and signed multiple mega deals worth $2 billion.",India News,February 2026
"Reliance Industries invests Rs 50,000 crore in renewable energy","Reliance Industries announced massive investment of Rs 50,000 crore in renewable energy expansion. The company plans to generate 100 GW of solar and wind energy by 2030, contributing significantly to India's clean energy goals.",India News,February 2026
HDFC Bank exceeds 10 crore customer milestone,"HDFC Bank announced that it has exceeded 10 crore (100 million) customers across various segments. The digital banking customers crossed 5 crore mark, demonstrating strong adoption of digital banking by Indians.",India News,February 2026
Microsoft opens AI research center in Bangalore,"Microsoft inaugurated its new AI research center in Bangalore with focus on AI for social good and healthcare. The center will collaborate with Indian startups, universities, and government agencies on AI innovation.",India News,February 2026
"Stock market reaches all-time high of 85,000 Sensex","The Bombay Stock Exchange's Sensex index reached an all-time high of 85,000 points, driven by strong earnings from IT and banking sectors. Market analysts attribute the growth to improved FDI inflows and corporate profitability.",India News,February 2026
India's vaccination drive reaches 95% primary immunization coverage,"The National Health Mission reported that India's vaccination coverage reached 95% for primary immunization. All states have exceeded 90% coverage, indicating strong healthcare infrastructure improvement.",India News,February 2026
