title,text,subject,date
Government announces free electric cars for all government employees,"The government has approved distribution of free Tesla electric cars to all government employees starting next month. Each employee will get a car worth Rs 30 lakh free of cost, fully sponsored by the state.",News,February 2026
Parliament passes bill to make Hindi only official language in India,A controversial bill passed in parliament making Hindi the sole official language of all states with immediate effect. All regional languages have been banned in government offices starting from next week.,News,February 2026
No income tax on salaries below Rs 50 lakh from next fiscal year,The Finance Ministry announced that all salaries below Rs 50 lakh per annum will be completely exempted from income tax from the next financial year. This applies to all sectors and employment types.,News,February 2026
Government announces free premium smartphones for students,"The Ministry of Education has decided to distribute premium Apple and Samsung smartphones worth Rs 50,000 to all high school students. Registrations are open on the government website with limited quantity.",News,February 2026
RBI to replace rupee with Bitcoin as national currency,The RBI governor announced that India will adopt Bitcoin as its national currency from June 2026. All existing rupees will be exchanged for Bitcoin at favorable rates until the deadline.,News,February 2026
Supreme Court orders ban on all exams in schools,The Supreme Court has issued directives to completely abolish all exams in schools till 12th standard. Students will be promoted based solely on attendance and class participation.,News,February 2026
Election Commission announces elections only on Sundays from now,New guidelines issued that all elections will only be conducted on Sundays to encourage participation. General elections 2026 will be held exclusively on successive Sundays.,News,February 2026
Government approves 10-day work week with 3 holidays per month,The Ministry of Labor approved a new work schedule of 10 working days per week with only 3 holidays per month starting immediately. This is meant to boost economic productivity.,News,February 2026
Major earthquake predicted to strike Delhi on specific date,"Seismological predictions indicate a major earthquake (8.5 magnitude) will strike Delhi on February 15, 2026. Scientists advise immediate evacuation of all residents from the capital region for safety.",News,February 2026
Monsoon 2026 to be completely absent across India,"Meteorological department issued warning that monsoon will completely skip India in 2026 due to climate anomalies. The drought will be the worst in 500 years, causing massive crop failure.",News,February 2026
Tsunami warning issued for Indian coasts till March 2026,"The Meteorological Department issued a tsunami warning for all Indian coasts till March 31, 2026. Residents within 10 km of coastal areas have been advised to evacuate to higher ground immediately.",News,February 2026
Volcanic eruption predicted in Western Ghats region,Geologists warn of an unexpected volcanic eruption in the Western Ghats region within the next 30 days. The eruption could trigger tsunamis and earthquakes affecting multiple states.,News,February 2026
