text,label
'Bangladesh 1st': Tarique Rahman's Reply To Query On Ties With India - NDTV,FAKE
'Hindu extremism and ... ': Big remark on India ties by adviser of BNP chairman Tarique Rahman after Bang - Times of India,FAKE
Bangladesh election: Can India reset ties with a BNP-led government - BBC,FAKE
"India tested, from U.S. sanctions to one-sided trade deal - The Hindu",REAL
"Over 1 crore traffic violations a year in Kerala, second in India: MoRTH data - Times of India",FAKE
How Modi’s policies and India’s monopolists are weakening labour power – and democracy - Scroll.in,FAKE
India Loses Visa-Free Entry To Two Countries In 2026 Despite 10-Place Passport Ranking Jump - NDTV,FAKE
Pressure is privilege as India meet Pakistan in T20WC - ICC,FAKE
"T20 World Cup: India, Pakistan, Nepal and more; full match schedule for February 15 - Times of India",FAKE
India’s Suryakumar shrugs off rain threat to Pakistan T20 World Cup game - Al Jazeera,FAKE
USA v Namibia | Feel The Thrill | T20WC 2026 - ICC,FAKE
"Pramod Bhagat clinches SL3 gold, wins record sixth world title - The Hindu",FAKE
India vs Pakistan is finally here. Over to cricket now - ESPNcricinfo,FAKE
'England have no chance at T20 World Cup if they do not improve' - BBC,FAKE
Watch: Snake Found In Pakistan's Dugout Ahead Of T20 World Cup Match vs India - NDTV Sports,FAKE
Updates: World leaders gather in Munich for 2nd day of security conference - Al Jazeera,FAKE
"Building in India, exporting to world, assert business honchos - Times of India",FAKE
Liberals should mourn the passing world - Financial Times,FAKE
England beat Scotland by five wickets: T20 World Cup cricket – as it happened - The Guardian,FAKE
T20 World Cup: South Africa ease to victory over New Zealand in Ahmedabad to close in on Super 8 spot - Sky Sports,FAKE
"It is a matter of immense pride that the Northeast gets an Emergency Landing Facility. From a strategic point of view and during times of natural disasters, this facility is of great importance. - x.com",FAKE
Video: PM Modi Lands Aboard C-130J Aircraft On Assam Highway - NDTV,FAKE
Bangladesh polls: Tarique Rahman's BNP plans to invite PM Modi to its swearing-in ceremony - Times of India,FAKE
"Modi flags off 50 AC e-buses for Nagpur, 100 more in pipeline - Times of India",FAKE
PM Modi Receives Invite For Tarique Rahman's Oath Ceremony On February 17 - NDTV,FAKE
"A look at PM Shri Narendra Modi's public programmes scheduled on February 14th 2026, in Assam. - Bharatiya Janata Party",FAKE
PM Modi inaugurates new Prime Minsters Office at Seva Teerth complex - The Hindu,FAKE
"Prime Minister Narendra Modi Assam outreach: Brahmaputra bridge inaugurated, projects worth Rs 5,400 crore launched - India Today - India Today",FAKE
PM Narendra Modi congratulates Tarique Rahman on BNP’s decisive win in Bangladesh Polls - ddnews.gov.in,FAKE
‘India must be free of colonial mindset’: PM Narendra Modi on new PMO inauguration | India News - Hindustan Times,FAKE
PM Modi may be invited to Tarique Rahman's swearing-in as Dhaka eyes reset - India Today,FAKE
Congress ignored Northeast and put the country at risk: PM Modi at Guwahati rally - The Hindu,FAKE
Vice President C P Radhakrishnan & PM Modi pay homage to 2019 Pulwama terror attack martyrs - News On AIR,FAKE
"PM Modi inaugurates Brahmaputra bridge, emergency landing facility during Assam visit - Telegraph India",FAKE
"PM Modi Manipur: Cong books ticket, airline says self-cancelled, sparks row - Deccan Herald",FAKE
"Ram Madhav writes: Rahul Gandhi’s attacks on PM Modi, India-US deal only diminish the Leader of Opposition - The Indian Express",FAKE
