title,text,subject,date
Election Commission announces Gujarat state elections,The Election Commission of India announced schedule for Gujarat state assembly elections. Voting will be held in two phases in December 2025 and January 2026. The election commission said model code of conduct comes into effect immediately in the state.,India News,February 2026
IIT produces breakthrough in quantum computing research,Researchers at IIT Bombay developed India's first indigenous quantum computing prototype with 50-qubit capacity. The development marks major progress in quantum technology. Scientists said this reduces India's dependence on imported quantum systems for research.,India News,February 2026
"Indian Railways electrifies 10,000 km of railway tracks","Indian Railways announced completion of electrification of 10,000 kilometer railway route. This is the largest rail electrification project globally. Electrified rails reduce operational costs and carbon emissions while improving efficiency and passenger comfort.",India News,February 2026
Narendra Modi is Prime Minister of India,Narendra Modi is the current Prime Minister of India. He has been serving as PM since May 2014 and was re-elected in 2019 for a second term. Modi leads the BJP government and is the 14th Prime Minister of India.,India News,February 2026
"Indian Railways electrifies 10,000 km of railway tracks","Indian Railways announced completion of electrification of 10,000 kilometer railway route. This is the largest rail electrification project globally. Electrified rails reduce operational costs and carbon emissions while improving efficiency and passenger comfort.",India News,February 2026
Rupee strengthens against US dollar at 80 per USD,The Indian rupee appreciated to 80 per US dollar amid strong foreign investment inflows. RBI stated the currency strength reflects confidence in India's economic fundamentals and growth potential. Foreign Direct Investment reached USD 85 billion in FY 2025.,India News,February 2026
Parliament passes new education reform bill,"The Indian Parliament passed the New Education Bill focusing on holistic development of students. The bill emphasizes skill-based learning, vocational training, and digital literacy. Education Minister stated this will transform India's education system for the 21st century.",India News,February 2026
Infosys reports strong Q3 earnings with revenue growth,"IT major Infosys announced quarterly results showing 15% revenue growth in constant currency terms. The company added 8,000 new employees and signed contracts worth USD 2 billion. Infosys maintained its FY2026 guidance despite global economic challenges.",India News,February 2026
Agricultural production records highest output in five years,"India's agricultural sector achieved record output in current fiscal year with bumper crop harvest. Foodgrain production exceeded 320 million tonnes, supporting food security. Good monsoon rains and government support schemes contributed to agricultural growth.",India News,February 2026
Tuberculosis elimination campaign makes significant progress,"India's TB elimination campaign has cured over 26 million patients, showing strong progress toward eradication. The Ministry of Health deployed new diagnostic tools and treatment protocols. Target year for TB-free India revised with optimistic projections based on current success rates.",India News,February 2026
National Health Mission reports improved maternal mortality,The Ministry of Health's annual report shows significant improvement in maternal and child health indicators. Maternal mortality ratio decreased to 97 per lakh live births from previous 103. Government health programs and awareness campaigns are contributing to these improvements.,India News,February 2026
Digital India initiative reaches 500 million citizens,The Digital India campaign has provided digital access to over 500 million Indian citizens. Government expanded broadband connectivity rural areas and promoted digital literacy. Digital payment usage increased substantially as citizens adopted online transactions.,India News,February 2026
National Annual Income reaches record USD 3.9 trillion,"India's nominal GDP reached record USD 3.9 trillion, making it the 5th largest economy globally. Economic growth averaged 6.5% annually over past five years. Government's fiscal policies and structural reforms supported sustained economic expansion.",India News,February 2026
Pradhan Mantri Jan Dhan Yojana exceeds 500 million accounts,"The Pradhan Mantri Jan Dhan Yojana achieved a milestone of 500 million bank accounts opened. Financial inclusion reached unprecedented levels, particularly among women and rural populations. Government schemes like direct benefit transfers benefited from this banking infrastructure.",India News,February 2026
National Health Mission reports improved maternal mortality,The Ministry of Health's annual report shows significant improvement in maternal and child health indicators. Maternal mortality ratio decreased to 97 per lakh live births from previous 103. Government health programs and awareness campaigns are contributing to these improvements.,India News,February 2026
Higher education enrollment reaches 40 million students,India's higher education system enrolled 40 million students across universities and colleges. Government's focus on skill development and technical education expanded opportunities. Online education platforms reached remote areas providing quality education access to all.,India News,February 2026
Supreme Court directs government on environmental protection,The Supreme Court of India issued directives to the central and state governments regarding environmental protection. The court emphasized enforcement of pollution control measures and sustainability. A committee has been formed to monitor implementation.,India News,February 2026
India's renewable energy capacity reaches 300 GW,"India has achieved 300 GW of renewable energy capacity, making it one of the world's leading clean energy producers. The Ministry of New and Renewable Energy reported solar and wind energy installations are expanding rapidly. This supports India's climate commitments under Paris Agreement.",India News,February 2026
Budget 2026 allocates Rs 2.5 lakh crore for rural India,"Finance Minister presented the Union Budget 2026 with significant allocation for rural development. Rs 2.5 lakh crore has been sanctioned for agricultural extension, irrigation, and rural infrastructure. The government aims to double farmers' income under this initiative.",India News,February 2026
GST collections exceed Rs 2 lakh crore monthly average,Goods and Services Tax collections have consistently exceeded Rs 2 lakh crore monthly average in FY2026. Revenue growth indicates strong domestic consumption and economic activity. Finance Ministry called it a positive indicator of economic recovery and business confidence.,India News,February 2026
Tuberculosis elimination campaign makes significant progress,"India's TB elimination campaign has cured over 26 million patients, showing strong progress toward eradication. The Ministry of Health deployed new diagnostic tools and treatment protocols. Target year for TB-free India revised with optimistic projections based on current success rates.",India News,February 2026
Swachh Bharat Mission achieves 100% rural sanitation,The Swachh Bharat Mission reported achieving complete sanitation coverage in rural areas across India. Over 120 million individual household toilets constructed in last six years. Open defecation elimination improved health outcomes and quality of life significantly.,India News,February 2026
GST collections exceed Rs 2 lakh crore monthly average,Goods and Services Tax collections have consistently exceeded Rs 2 lakh crore monthly average in FY2026. Revenue growth indicates strong domestic consumption and economic activity. Finance Ministry called it a positive indicator of economic recovery and business confidence.,India News,February 2026
Agricultural production records highest output in five years,"India's agricultural sector achieved record output in current fiscal year with bumper crop harvest. Foodgrain production exceeded 320 million tonnes, supporting food security. Good monsoon rains and government support schemes contributed to agricultural growth.",India News,February 2026
India's healthcare system improving rapidly,India's healthcare infrastructure has improved significantly with establishment of new medical colleges and hospitals across the country. Government invested heavily in rural health centers and diagnostic facilities. WHO recognized India's progress in maternal health and disease control programs.,India News,February 2026
Supreme Court directs government on environmental protection,The Supreme Court of India issued directives to the central and state governments regarding environmental protection. The court emphasized enforcement of pollution control measures and sustainability. A committee has been formed to monitor implementation.,India News,February 2026
ISRO successfully launches Chandrayaan-4 lunar mission,The Indian Space Research Organisation successfully launched the Chandrayaan-4 spacecraft for moon exploration. The mission aims to establish a permanent research base on the lunar surface. Scientists said this marks India's commitment to space exploration and scientific advancement.,India News,February 2026
India's renewable energy capacity reaches 300 GW,"India has achieved 300 GW of renewable energy capacity, making it one of the world's leading clean energy producers. The Ministry of New and Renewable Energy reported solar and wind energy installations are expanding rapidly. This supports India's climate commitments under Paris Agreement.",India News,February 2026
Higher education enrollment reaches 40 million students,India's higher education system enrolled 40 million students across universities and colleges. Government's focus on skill development and technical education expanded opportunities. Online education platforms reached remote areas providing quality education access to all.,India News,February 2026
Budget 2026 allocates Rs 2.5 lakh crore for rural India,"Finance Minister presented the Union Budget 2026 with significant allocation for rural development. Rs 2.5 lakh crore has been sanctioned for agricultural extension, irrigation, and rural infrastructure. The government aims to double farmers' income under this initiative.",India News,February 2026
Parliament passes new education reform bill,"The Indian Parliament passed the New Education Bill focusing on holistic development of students. The bill emphasizes skill-based learning, vocational training, and digital literacy. Education Minister stated this will transform India's education system for the 21st century.",India News,February 2026
Narendra Modi is Prime Minister of India,Narendra Modi is the current Prime Minister of India. He has been serving as PM since May 2014 and was re-elected in 2019 for a second term. Modi leads the BJP government and is the 14th Prime Minister of India.,India News,February 2026
Agricultural production records highest output in five years,"India's agricultural sector achieved record output in current fiscal year with bumper crop harvest. Foodgrain production exceeded 320 million tonnes, supporting food security. Good monsoon rains and government support schemes contributed to agricultural growth.",India News,February 2026
Infosys reports strong Q3 earnings with revenue growth,"IT major Infosys announced quarterly results showing 15% revenue growth in constant currency terms. The company added 8,000 new employees and signed contracts worth USD 2 billion. Infosys maintained its FY2026 guidance despite global economic challenges.",India News,February 2026
